Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
34282,34081,13.35,9.29,0.0,0.0,1.0,1.0,0.0,11.1,23.02,16.52,17.7,8.93,20.49,14.24,18.47,0.996,dup
34221,33936,3.21,1.76,0.0,1.0,1.0,1.0,0.05,12.73,16.16,11.87,12.49,1.9,4.94,1.9,3.64,0.957,dup
34221,33915,7.37,1.4,0.0,1.0,1.0,1.0,0.0,12.73,16.16,11.87,12.49,14.17,22.97,18.3,18.17,0.994,dup
34116,34109,59.25,111.84,0.0,0.0,1.0,1.0,0.0,22.5,29.37,24.99,22.28,22.14,31.56,27.44,23.08,0.999,dup
33964,33789,13.03,11.74,0.0,0.0,1.0,1.0,0.0,17.53,30.83,23.04,21.71,10.56,28.03,15.43,16.96,0.989,dup
33962,33904,5.85,2.13,0.0,0.0,1.0,1.0,0.0,7.46,12.53,11.5,7.92,13.87,26.52,20.06,21.24,0.988,dup
33962,33872,4.0,1.66,0.0,0.0,1.0,1.0,0.0,7.46,12.53,11.5,7.92,12.72,22.01,15.24,20.61,0.973,dup
33962,33867,2.81,0.0,0.0,0.0,1.0,1.0,0.0,7.46,12.53,11.5,7.92,10.16,21.59,13.99,16.14,0.982,dup
33962,33859,7.37,3.68,0.0,0.0,1.0,1.0,0.05,7.46,12.53,11.5,7.92,13.81,29.85,20.71,23.66,0.982,dup
33962,33841,7.37,1.59,0.0,0.0,1.0,0.5,0.05,7.46,12.53,11.5,7.92,15.8,23.32,19.97,19.5,0.992,dup
33948,33552,5.2,1.95,0.0,1.0,1.0,1.0,0.0,12.33,15.67,9.04,16.21,8.34,17.86,14.26,11.29,0.951,dup
33948,33547,4.46,1.95,0.0,1.0,1.0,1.0,0.0,12.33,15.67,9.04,16.21,11.88,29.21,22.21,22.23,0.961,dup
33948,33546,2.92,1.95,0.0,1.0,1.0,1.0,0.0,12.33,15.67,9.04,16.21,7.65,12.71,10.57,10.47,0.976,dup
33936,33915,4.71,1.55,0.0,1.0,1.0,1.0,0.05,1.9,4.94,1.9,3.64,14.17,22.97,18.3,18.17,0.965,dup
33904,33872,6.46,0.0,0.0,0.0,1.0,1.0,0.0,13.87,26.52,20.06,21.24,12.72,22.01,15.24,20.61,0.996,dup
33904,33867,7.34,3.75,0.0,0.0,1.0,1.0,0.0,13.87,26.52,20.06,21.24,10.16,21.59,13.99,16.14,0.998,dup
33904,33859,14.19,14.06,0.0,0.0,1.0,1.0,0.05,13.87,26.52,20.06,21.24,13.81,29.85,20.71,23.66,0.999,dup
33904,33841,11.64,8.82,0.0,0.0,1.0,0.5,0.05,13.87,26.52,20.06,21.24,15.8,23.32,19.97,19.5,0.996,dup
33872,33867,6.57,0.0,0.0,1.0,1.0,1.0,0.0,12.72,22.01,15.24,20.61,10.16,21.59,13.99,16.14,0.995,dup
33872,33859,8.69,3.52,0.0,1.0,1.0,1.0,0.05,12.72,22.01,15.24,20.61,13.81,29.85,20.71,23.66,0.996,dup
33872,33841,6.22,0.0,0.0,1.0,1.0,0.5,0.05,12.72,22.01,15.24,20.61,15.8,23.32,19.97,19.5,0.992,dup
33867,33859,8.72,3.18,0.0,1.0,1.0,1.0,0.05,10.16,21.59,13.99,16.14,13.81,29.85,20.71,23.66,0.999,dup
33867,33841,5.35,1.77,0.0,1.0,1.0,0.5,0.05,10.16,21.59,13.99,16.14,15.8,23.32,19.97,19.5,0.991,dup
33859,33841,13.19,14.58,0.0,1.0,1.0,0.5,1.0,13.81,29.85,20.71,23.66,15.8,23.32,19.97,19.5,0.992,dup
